Opportunity ID,Business Account,Status,Stage,Estimated amount,Amount received,Difference,Class ID,Class,Programme financé
2566,C00357,Won,Won,6000.0,6000.0,0.0,PPRIV EVNT,Private partnership - Event,
2565,C01373,Won,Won,764.4,764.4,0.0,CAMP SAL,Campus - Room,
2564,C04695,Won,Won,6900.0,6900.0,0.0,CAMP TER,Campus - Field,
2560,C01235,Won,Won,50000.0,50000.0,0.0,PPRIV MEC,Private partnership - Patronage,Job dans la Ville
2555,C04583,New,Won,5000.0,2500.0,-2500.0,PPRIV MEC,Private partnership - Patronage,Non fléché
2554,C00001,Won,Won,4800.0,4800.0,0.0,PPRIV MEC,Private partnership - Patronage,Réussite dans la Ville
2553,C01593,Won,Won,3000.0,3000.0,0.0,PPRIV MEC,Private partnership - Patronage,Job dans la Ville
2551,C00844,Won,Won,1000.0,1000.0,0.0,PPRIV MEC,Private partnership - Patronage,"Job dans la Ville, L dans la Ville"
2550,C01553,Won,Won,500.0,500.0,0.0,PPRIV MEC,Private partnership - Patronage,Job dans la Ville
2548,C00673,Won,Won,15000.0,15000.0,0.0,PPRIV MEC,Private partnership - Patronage,Sport
2542,C01472,Won,Won,2590.0,2590.0,0.0,PPRIV MEC,Private partnership - Patronage,Entrepreneurs dans la Ville
2541,C01602,Won,Won,1000.0,1000.0,0.0,PPRIV MEC,Private partnership - Patronage,L dans la Ville
2538,C00665,New,Won,30000.0,20000.0,-10000.0,PPRIV EVNT,Private partnership - Event,
2527,C00027,Won,Won,6000.0,6000.0,0.0,PPRIV EVNT,Private partnership - Event,
2524,C00707,Won,Won,6000.0,6000.0,0.0,PPRIV EVNT,Private partnership - Event,
2523,C00875,Won,Won,8000.0,8000.0,0.0,PPRIV EVNT,Private partnership - Event,
2521,C00230,Won,Won,6000.0,6000.0,0.0,PPRIV EVNT,Private partnership - Event,
2520,C04578,Won,Won,6000.0,6000.0,0.0,PPRIV EVNT,Private partnership - Event,
2519,C00875,Won,Won,6000.0,6000.0,0.0,PPRIV EVNT,Private partnership - Event,
2518,C00534,Won,Won,6000.0,6000.0,0.0,PPRIV EVNT,Private partnership - Event,
2517,C01355,New,Won,613144.0,367887.0,-245257.0,PPUB,Public partnership,Job dans la Ville
2516,C01672,Won,Won,396.0,396.0,0.0,CAMP SAL,Campus - Room,
2515,C00706,Won,Won,10300.0,10300.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2514,C01207,Won,Won,2500.0,2500.0,0.0,PPUB,Public partnership,Sport
2512,C01204,New,Won,175000.0,115000.0,-60000.0,PPUB,Public partnership,"Sport, Job dans la Ville"
2511,C01198,New,Won,38800.0,29100.0,-9700.0,PPUB,Public partnership,"Sport, Job dans la Ville"
2509,C01196,Won,Won,5000.0,5000.0,0.0,PPUB,Public partnership,Job dans la Ville
2508,C01196,Won,Won,5000.0,5000.0,0.0,PPUB,Public partnership,Job dans la Ville
2507,C01196,Won,Won,5000.0,5000.0,0.0,PPUB,Public partnership,Job dans la Ville
2506,C01196,Won,Won,6658.96,6658.96,0.0,PPUB,Public partnership,Non fléché
2505,C01196,Won,Won,5000.0,5000.0,0.0,PPUB,Public partnership,Job dans la Ville
2504,C01196,Won,Won,40000.0,40000.0,0.0,PPUB,Public partnership,Entrepreneurs dans la Ville
2503,C01194,Won,Won,42300.0,42300.0,0.0,PPUB,Public partnership,Entrepreneurs dans la Ville
2502,C01208,Won,Won,13000.0,13000.0,0.0,PPUB,Public partnership,"Sport, Job dans la Ville"
2501,C01206,New,Won,290000.0,60000.0,-230000.0,PPUB,Public partnership,"Sport, Job dans la Ville"
2500,C00467,Won,Won,30000.0,30000.0,0.0,PPUB,Public partnership,Non fléché
